[SHORT TFBS MATRIX]
MA0010.1	22400	0.860429820705108	0.0431309004152097
MA0011.1	22400	0.897198850853999	0.0491934175028636
MA0012.1	22400	0.890607075488899	0.0403037685189505
MA0013.1	22400	0.890298647140118	0.0456371695839227
MA0015.1	22400	0.828882517131951	0.0703631192645386
MA0016.1	22400	0.735743240392783	0.0580261025945983
MA0022.1	22400	0.823063306179157	0.0414623010969613
MA0023.1	22400	0.804630914770228	0.0503364910210179
MA0026.1	22400	0.845037975590518	0.0642829758948755
MA0049.1	22400	0.891389348691863	0.0499057560431063
MA0085.1	22400	0.747362764005986	0.0484298710303101
MA0126.1	22400	0.862914957438908	0.0541473158142619
MA0165.1	22400	0.931029490881183	0.0514130996426605
MA0166.1	22400	0.867482831896166	0.0715582907819521
MA0167.1	22400	0.900212038411132	0.0582796396115547
MA0168.1	22400	0.911654008443948	0.0588090061448948
MA0169.1	22400	0.889174086748834	0.0676929437876893
MA0170.1	22400	0.936016992431866	0.0544353144728852
MA0171.1	22400	0.877396826746589	0.0649425229728032
MA0172.1	22400	0.851465563664043	0.0761573732426184
MA0173.1	22400	0.862902964565481	0.0647962780620895
MA0174.1	22400	0.93252572434062	0.0554085294396926
MA0175.1	22400	0.899189662053844	0.0681399886955012
MA0176.1	22400	0.917690183142027	0.0576149272435
MA0177.1	22400	0.88305438471777	0.0710587365233201
MA0178.1	22400	0.897579238134196	0.0612291878706942
MA0179.1	22400	0.890318591003835	0.0719568023449968
MA0180.1	22400	0.833983180643972	0.0617381101877756
MA0181.1	22400	0.891929815425796	0.068816896864305
MA0182.1	22400	0.95566168529288	0.0504413773316382
MA0183.1	22400	0.917672081609003	0.045625580938543
MA0184.1	22400	0.885790805480509	0.0689089892181666
MA0185.1	22400	0.933585149802614	0.0726842609684841
MA0186.1	22400	0.8637973373355	0.0674948755597245
MA0187.1	22400	0.920149792197257	0.0548032562553158
MA0188.1	22400	0.85583689483941	0.0696260283735131
MA0189.1	22400	0.916583732039493	0.0569021050481078
MA0190.1	22400	0.860247359799535	0.0670646143134233
MA0191.1	22400	0.887704896081016	0.0720356251850029
MA0192.1	22400	0.880135848588934	0.0641470201526983
MA0193.1	22400	0.886506094660121	0.0528540686978096
MA0194.1	22400	0.843424143702668	0.0797756690657393
MA0195.1	22400	0.922214178521993	0.0493861974146477
MA0196.1	22400	0.918135309041378	0.0519578582449404
MA0198.1	22400	0.885168185276441	0.0688266378828405
MA0199.1	22400	0.918479483299626	0.0804983074772572
MA0200.1	22400	0.883699029792393	0.0748358637534541
MA0201.1	22400	0.819728826076232	0.0632795378004849
MA0202.1	22400	0.877991709626265	0.0731764564818944
MA0203.1	22400	0.871752438626378	0.0666623899356983
MA0204.1	22400	0.876194186616546	0.0613016218271443
MA0206.1	22400	0.895935636309062	0.0623492272043294
MA0207.1	22400	0.872951019059931	0.0673705933416677
MA0208.1	22400	0.849014608093464	0.0774071619705618
MA0209.1	22400	0.892676327353029	0.0622331680992302
MA0210.1	22400	0.986761663468069	0.0360881289934234
MA0211.1	22400	0.845682536612419	0.0666299486381478
MA0212.1	22400	0.849075111651461	0.0619670451284682
MA0213.1	22400	0.853194654571347	0.0635977836110404
MA0214.1	22400	0.910117824437022	0.0654231668266384
MA0215.1	22400	0.888982589058774	0.0624516511531008
MA0217.1	22400	0.963637738772319	0.0380232397395899
MA0218.1	22400	0.935931600727521	0.0501396287995888
MA0219.1	22400	0.927571631664946	0.0509895540142208
MA0220.1	22400	0.883116835138089	0.0741015795234288
MA0221.1	22400	0.918051538980089	0.0519226176320133
MA0222.1	22400	0.8747912125145	0.0574565756265502
MA0224.1	22400	0.874100032459076	0.0679344162620781
MA0225.1	22400	0.892585368056049	0.0654072285436018
MA0226.1	22400	0.881432805531012	0.0766249595859313
MA0227.1	22400	0.868209243326255	0.0688340926099225
MA0228.1	22400	0.877226054746719	0.0674237506056399
MA0229.1	22400	0.868333661733775	0.0649642154030328
MA0230.1	22400	0.875196806902364	0.0712628176200681
MA0231.1	22400	0.94383833464329	0.0532763371691823
MA0232.1	22400	0.924722173011718	0.0639056023862697
MA0233.1	22400	0.985120072351192	0.0370460562285124
MA0234.1	22400	0.853197996943587	0.0643296136410555
MA0235.1	22400	0.895040763263932	0.0643479238678502
MA0236.1	22400	0.892586090684728	0.0654009330792261
MA0238.1	22400	0.874523302561489	0.074817035383039
MA0239.1	22400	0.862914957438908	0.0541473158142619
MA0240.1	22400	0.873861324453475	0.0712751662199228
MA0241.1	22400	0.865986130862911	0.0709736199789888
MA0242.1	22400	0.822982170786677	0.0501127916729543
MA0243.1	22400	0.887343719172768	0.0327356247289758
MA0244.1	22400	0.909988431844397	0.0389073314605765
MA0245.1	22400	0.905878407199617	0.0665732778822448
MA0246.1	22400	0.859179690371671	0.0632409561990382
MA0248.1	22400	0.910417160560077	0.0537277110617498
MA0250.1	22400	0.877367664213433	0.0702113490899883
MA0251.1	22400	0.889563225665757	0.067616036314828
MA0252.1	22400	0.862305024997348	0.0817720163094442
MA0253.1	22400	0.845315749529288	0.0535021415357566
MA0254.1	22400	0.948989492141279	0.04370556900042
MA0255.1	22400	0.855949834868416	0.0474601985192956
MA0256.1	22400	0.861132670389098	0.0698977800290915
MA0257.1	22400	0.894425751593553	0.0651577987636608
MA0094.2	22400	0.87846135903071	0.0689246699762194
MA0443.1	22400	0.78996460613471	0.0595144026791728
MA0444.1	22400	0.892133376445263	0.0598764756056749
MA0445.1	22400	0.841677095433122	0.0491455618268719
MA0446.1	22400	0.862115915064905	0.0509491672458626
